TEXT	TIME
要大胆抄了后面做反弹或者说被套的一定要学会调仓换股1.小票2.跌到位而不是半山腰	12-31
今年国家队，赚了5000多个亿。有9成多的散户是亏钱的	12-31
大家赶紧买，明天大盘百分百不会跌	12-31
大盘不乐观，先看3250防守，3300基本必破	12-31
世界独一份的极品	12-31
A股股指会再创新高，小盘股会回到2600-2800点那个位置，银行，中字头会再创	12-31
上证指数放量跌破五日线和是日线，短线破位。六十日均线掉头向下走，已经不构成支撑作	12-31
明天捉妖记，妖股图腾[买入][买入][买入][买入]【券商业绩爆增第一，遇冬亚会	12-31
股市亏钱太速度了，基本都是亏本，估计很难回来了。	12-31
不要怕。大哥要涨分分秒秒的事，相信大哥。	12-31
止跌了。终于	12-31
问题不大，利好加仓	12-31
怎么还不说今年人均赚了多少呀，这不科学呀！	12-31
圆满收官	12-31
大家不要怕，相信我至少今年不会再跌了。	12-31
2025年开门红	12-31
这预测没谁了	12-31
18W实盘投资记录（第309天）	12-31
周四大盘还要激烈，大家记得去高位股去接盘，还有人吗	12-31
A股还能玩吗？	12-31
大家元旦快乐！乐呵呵	12-31
以前买卖10个点内设个价可成交，现在不行了。必须实时盯盘，很多股民都从业余变成职	12-31
跌破生命线了，新年第一天必须走	12-31
关于2029	12-31
今天的下跌无须担心	12-31
上证指数黯然滑落1.63%，众多个股更是惨遭重创，跌幅逾越5%大关。自九月下旬掀	12-31
大盘这样的年度成绩单说明了什么？有值得骄傲的地方吗？如果跟大多数个股的年度成绩单	12-31
银保券中开始猎杀投资者了，养肥了准备收割。	12-31
12月结束，太难了	12-31
明年继续不消费，做空，一天一顿饭	12-31
一阴川4线。怎么看	12-31
各指数收在最低点，还能敲锣打鼓哈哈哈	12-31
放量下跌，这节没味道了	12-31
周一复盘————大涨之日，就是清仓之时	12-31
12月31日的大阴线，预示着来年全部闷杀，至少杀到3000点才看的出止不止咳。	12-31
拖了大家的后腿	12-31
24.12.31午间金融分享	12-31
我本将心向明月，奈何明月照沟渠。痛心啊！事实证明明月是靠不住的，看来得把心向沟渠	12-31
算是抄底成功！	12-31
24年涨多了，25年补跌	12-31
如出一辙	12-31
上午主力暗号：14点启动，看会不会涨	12-31
各位老板，如果2024年你炒股没跑赢大盘或者没赚钱，2025年你打算怎么办？	12-31
不必等上午的收盘了，今天的市场很不对劲，难道要终结往年的惯例，来一个“关门黑”？？？	12-31
这是迎接新年吗？	12-31
格局早知道！2025年A股的顶、底和中枢	12-31
2乔布杰罗工作室祝东方财富股民2025年旗开得胜	12-31
本身今晚要跨年的，被这股市弄的一点心情都没有了	12-31
港股没开盘A股拉稀	12-31
节后有利好吗？说好了跨年行情	12-31
今天大跌，是为了2025开门红后天必然开门红，恭喜今天为国接盘的股民	12-31
收各了一整年，连2024年最后一天都不放过！！！	12-31
周四要么十字星，要么低开高走收阳线	12-31
今年收官了，应该没人比我惨了	12-31
MA5日均线3400点	12-31
上海那个神仙瞎猜乱蒙3424和3524今天不但没看到，郁是恰恰相反看到一根大阴线	12-31
盘点 | 物流/通信x国货航首发涨	12-31
辉瑞PD-L1 ADC药物国内首次申报临床	12-31
利好来袭，黄金还要继续涨吗？	12-31
10:30之后将会形成地点，A股开始大阳线反攻	12-31
国九条大背景下，全面拥抱核心绩优蓝筹股，二十年船舶工业上行周期来临以中国重工低估	12-31
外资一看一个不吱声	12-31
有种破60日线	12-31
还有唱多的人嘛？	12-31
五天的涨幅一天跌玩	12-31
主力资金天天做空，涨是不可能的	12-31
今天不会百点吃面吧	12-31
中午抄底的兄弟还好吗？	12-31
谁也没有想到2024年这样收官！	12-31
如果美股跌了，我们一定比他很。	12-31
都在想跨年度大行情，都在做发财的梦，事实会让你醒醒！	12-31
清仓不玩了	12-31
这月落袋15个点。空仓一周了	12-31
A神V5，吊打全世界！	12-31
完犊子了	12-31
是不是有什么消息呀，怎么就下跌了那	12-31
放飞自我了	12-31
没戏了，收盘最低价，两点半准时砸盘	12-31
年年这样涨几百点就开始砸，	12-31
牛市行情，怕涨上去，追不上，买了点！！！	12-31
今天不逃命以后更参	12-31
大盘加油，24年最后一天	12-31
今年最后一跌	12-31
2024机构盆满钵满，散户连裤衩也没了。	12-31
看这架势，今天跑1千亿都挡不住	12-31
帐户腰斩了	12-31
最后一天亏麻了，清完了，留点钱过年买点面包饺子！	12-31
加油，马上到五千家了。	12-31
400点回调在路上	12-31
2025再无3400	12-31
最后一天还不让人好过	12-31
不装了，掀桌子了，谁也别玩了，2024完美收官，新的一年再跌再厉。	12-31
60日均线被压迫了	12-31
下跌是为了更好的上涨	12-31
有点头晕目眩	12-31
这形势利好克明面业。	12-31
放心吧，3300点没问题。我们守得住	12-31
跌44.44，逃顶信号！	12-31
这股市的亏钱效应远远大过赚钱的效应。回本就销户，不玩了	12-31
最后一天还不放过散户，呵呵	12-31
我的个乖乖，2024最后一天也太狠了	12-31
不想拉上去就别拉了呗.一上一下银行和上证50倒是没变.个股又下去了	12-31
过节都不让人开心，急用钱的昨天该出完了，今天还跌。	12-31
小散都跌麻了，一招进股市，十年难翻身	12-31
本金亏损严重	12-31
被按在地下摩擦！	12-31
这下安心了，回到解放前	12-31
止跌了，抓紧上车，节后有可能暴涨300点。	12-31
大盘这2个月k居然是红的，个股跌了近50个点大盘指数牛啊	12-31
老乡别走，牛市啊，官方认证	12-31
中国的a股，要像中国的军工一样不断的开拓进取，敢于领先，敢于独立潮头，看万山红遍	12-31
新年快乐，红包大家都收到了吗	12-31
断头铡了	12-31
上海爷叔不是说今天中央线吗？？？？？	12-31
今天收盘跌-1.75%	12-31
治疗各种各样的不服没有之一	12-31
还有很多嘴上喊着清仓，背地里满仓的，不要问我怎么知道的，大数据告诉我的	12-31
全部清仓。。。真舒坦，。	12-31
市场的走势警示大家只有靠自己，管住自己的手，雷声大，雨点小的一些信息切勿盲目轻信	12-31
专注割散，不得散心	12-31
明天本来想炒6个菜，刚才看了一下股票，还是来4个菜吧。	12-31
来了！！！快跑	12-31
慢牛在哪里了，怎么炒怎么炒？	12-31
都清仓吧，走坏了	12-31
今天要干到60日均线？	12-31
今天龙抬头了	12-31
12月涨幅最后一天给我抹掉了	12-31
咋不护盘了	12-31
祝大家过一个糟心的元旦节，一定要糟心噢。	12-31
科技股行情告一段落，医药股将在新年带头发力。	12-31
无底线了	12-31
时长3个月的牛结束了	12-31
哈哈，来啊	12-31
国家队今天什么时候来救场呢	12-31
这算不算强制消费	12-31
节后第一个交易日破3300，春节前破3100	12-31
年度收宫总结，指数涨，个股跌，指数跌，个股更跌！	12-31
全部下杀也好，只要别拉银行就行	12-31
散户太像杨白劳了	12-31
确定不是来搞笑的	12-31
砸盘过年了	12-31
已经3400点了，还幻想什么呢？这就是牛市啦！只不过属于慢牛行情。10.8不可复	12-31
只要港股没有下跌，就不必恐慌。大A以前看美股，现在看港股。国内资本根本没有主见的	12-31
个股很稳定！大A涨个股大跌！大A大跌个股还大跌！真稳	12-31
3400都站不稳	12-31
那些大股洗盘，指数是撑不住的，各各样就跟着刷压个不停，	12-31
快拉银行保险！	12-31
砸盘的给你家人积点阴德	12-31
最后一天，让你记住这一年，哈哈哈哈哈	12-31
杀吧，杀吧，散户基本空仓或者轻仓！	12-31
盘子，大盘子，	12-31
今天最后一天啊，	12-31
今天收盘跌破3342点，元旦后第一天跌破3300点。	12-31
想都不用想，今天又是哪些购机构在在砸，此生不买绝不买基金	12-31
中国盐湖工业豪掷135亿，控股盐湖股份引爆市场！	12-31
慢牛是不是就是在一个箱体内反复横跳？	12-31
你可以每天这样想	12-31
市场情绪很差，久盘必跌	12-31
24一年的起起伏伏，被最后这半个月全给弄吐回去了。	12-31
3368	12-31
再跌就都吧，看能不能唤醒那些高位人的良知	12-31
开始了	12-31
大跌几次高低切换。	12-31
只有胎神才预测A股怎么走。	12-31
摊牌了吧，也不拉银行保险护盘了，泥沙俱下吧，抓紧吧，赶紧跌，别稳了，再稳涨到三千	12-31
非要往下边线上杀挺住吧不一定能杀下去看机会了	12-31
这到底是谁的错？	12-31
昨天逗音一帮唱多。不能惯着	12-31
买三安光电赚了几百元吓得够呛，这空仓真好	12-31
这今天走的诡异。	12-31
这是又怎么啦？	12-31
个点？我	12-31
一阴吃三阳，开启下跌趋势	12-31
大盘要掉头向下了。目前这环境，抓个涨的都很难，更别说涨停了。昨天提示伏击的，今天	12-31
量化AI砸盘	12-31
今天不拉起来就搞笑了	12-31
绿盘收关	12-31
这波牛就这样飞走了	12-31
3346不是梦	12-31
果然是出乎意料的下跌	12-31
9月份还有4个向上跳空缺口要补，这一轮下跌到2670点估计8成的小票都会成为1块	12-31
这么牛逼的pmi指数，综合服务业pmi指数这么逆天了，第三方服务的龙头不得先翻三	12-31
人气消失，活力全无，流动性堪忧，死水一坛	12-31
这大盘简直不让人过好跨年啊。哈哈哈，现在是越来越绝了。	12-31
一阴包三阳，牛	12-31
彻底了	12-31
全红婵加油	12-31
这就是拉四大行三桶油的后果	12-31
中微子能量看着你们	12-31
今年的最后一天走成这样，真的面	12-31
大盘开盘后，大规模缩量，主力流出超90亿，流出较多，指数还是大盘股顶着。	12-31
指数在3350的时候还赚钱，指数到3400亏钱了。	12-31
回头一看，还是那句“对我而言股市就是一切”比“稳住市场”更好使。	12-31
冲鸭，明天更美好	12-31
年底了资金要结算吧还是没有增量资金啊	12-31
一字断魂刀来啦！	12-31
昨天没修复，开盘也不拉，10点跑光了，虽然有点小痛，但要是没跑，现在就痛死了	12-31
最后一天给大家来一次终身难忘的大跌	12-31
2024最后一天成为日	12-31
跟屁虫怎么	12-31
上证微跌0.76%，美股暴跌0.5%	12-31
发红包了吗？	12-31
赶快拉银行	12-31
下午拉升，大家不要怕，一起迎新年	12-31
没人关注指数，因为指数是失真的，不能反应个股的现状，所以大盘来个跌停都无所谓了。	12-31
牛市来了，快买买买。	12-31
这量化从竞价开盘开始。是不是已经可以计算出收盘的走势了！给量化一个支点，可以撬动	12-31
哎呦，卧槽	12-31
太扯淡，这证券，你到底咋了？要这么杀？	12-31
要砸就猛烈点	12-31
要过年了，新年的祝福来了，每人送一个棒棒糖，美滋滋的	12-31
就问你服不服，大盘暴涨百分之0.3.个股微跌百分之8	12-30
保险券商尾盘开始砸了，还是熟悉的味道。。。	12-30
又是银行石油的一天	12-30
这样的盘面真笑死人了	12-30
这个市场除了主力资金往出流还是往出流。	12-30
指数没动，我钱没了	12-30
小短线可关注一下CY，按纪律执行属于消费电子，	12-30
主力资金一直在卖，注意风险注意风险注意风险，3400已经在上面人心里的高位了，随	12-30
量越来越少.必须大跌才杀出量来	12-30
远离，	12-30
最近都是指数红，但4000只个股跌	12-30
怎么感觉大多数股票和指数没有关系	12-30
天天拉银行保险证券不怕被胀气么	12-30
又套一批	12-30
其实银行自己也不想拉，它不拉现在指数都2400了，你们小盘股自己拉不起来，不能怪	12-30
银行一涨就没好事，看似大盘涨了，实际却是近4000家下跌。	12-30
最后又是收割的一天	12-30
都什么再涨，4000个股暴跌，大盘红这么多呢	12-30
元旦前稳定指数在3400，节后大跌！	12-30
大盘又涨了，真可怕	12-30
牛走了，跑吧	12-30
不拉小票，带不动人气。	12-30
大盘是涨的，个股跟一样	12-30
亏麻了！桑田路卖飞中百集团错失地天板血亏9000万！	12-30
加满仓，别人恐惧我贪婪	12-30
临近春节，资金紧张	12-30
一根大阴线，砸穿60日线！扭扭捏捏不像样！非常恶劣！	12-30
近4000家下跌，大盘又红了，哈哈哈哈哈哈哈	12-30
日线支撑位置和周线支撑位置＃周线理论＃上涨	12-30
收盘又提银行创新高	12-30
这种缩量，根本没人跟的	12-30
大盘波澜不惊、银行保险躁动不安，元旦前怎么办？	12-30
银行拉大盘，这几天肯定又是大跌，尾盘我全部清仓观望几天先，持仓的祝你们好运。	12-30
上涨无量,就别装了,观众越来越少了	12-30
每天拉3个小时银行稳指数，最后半个小时通杀	12-30
猜猜2024收盘能站稳3400不，2025是先有三千保卫战或是先冲上3650点形	12-30
仅剩2天，却能同时做出二个年度的重大正绩，何乐而不为？荣科科技最后二天是否有大动	12-30
这波牛市要涨到14600点，现在买银行，一点也不晚，不涨银行，难道用垃圾股拉到1	12-30
现在散户诉求就是别跌了	12-30
2024年1月要在2025年1月再来一遍？	12-30
今日收盘3411.98	12-30
洽洽食品看看来一份多猛，跌停直接干红。还是亏损股嘞？	12-30
庄苟给老子拉上3420点以上收盘	12-30
银行拉大盘，这几天肯定又是大跌，尾盘我全部清仓观望几天先，持仓的祝你们好运。	12-30
的指数红，4千多只跌	12-30
AI就是和新能源一样的噱头，是经济出现产能饱和之后，另外找一个增长需求的臆想。真	12-30
应该是证券（资本）市场、银行市场和基金市场共同支持实体经济，当前我们好像是证券市	12-30
快点收盘吧！越快越好。	12-30
近4000家待涨，指数全红，奇葩	12-30
指数回来了，4000个股在黑暗里。	12-30
全场都可以退市了A股有银行既可以了	12-30
新龙王大蛇出山	12-30
说不买银行就不买，随便拉	12-30
期待晚上22:00大喜事，能不能提前给个大红！	12-30
现在全靠红利股撑住，不过感觉马上要大跌了	12-30
量能越来越少，跑吧	12-30
大金融干得漂亮！	12-30
牛还在吗？	12-30
华勤技术603296夸年牛股，等你来，兄弟们明天再不上车，就等一字板了@华勤技术	12-30
这种单边式反弹，注定昙花一现。	12-30
想无，数大涨，个股大跌，稳稳当当，	12-30
大盘是真涨啊，个股也是真猛跌啊	12-30
大盘节后要大涨	12-30
低价潜力股，静待利好公布，业绩兑现。	12-30
小米，既是造车新势力，又是GPU集大成，做时代先峰，目标开发智能收割机吧！	12-30
银行没人接盘就是飞啊	12-30
拉银行呀，4000点希望所在呀！！	12-30
大盘起来了，还亏一个点	12-30
又来忽悠小散割韭菜是真，利好是假，真实现状是什么，各行各业趋于饱和，所有的性能都	12-30
继续躺hs300，既然涨指数不涨个股那就玩指数呗，懒得看了。按惯例每年最后一个交	12-30
无量上涨，捂盘惜售啊	12-30
继续空仓年前坚决不做了，每天流出几百亿，缩量严重	12-30
就是个月末小节点大的节点我都发在万字长文里小节点有赚就赚没赚亏点也没多少问题。这	12-30
最近上海爷叔比较火，恰巧这几天咱们股市持续低迷大家亏钱效应比较明显可能大家都当笑	12-30
炒股的终极状态就是：简单，纯粹。简单可以避免陷阱，纯粹可以减少错误。字面上的理解	12-30
到底涨了些什么啊，我的票一直在跳水，都绿了	12-30
大三金、两桶油继续选择捅破天，，我就静静看能撑几天	12-30
真够烂的，投资的哪个得到回报了？	12-30
6000点买工行，3000点竟翻倍！银行股独领风骚！	12-28
重大变局！神剑股份易主，芜湖国资委强势入局！	12-28
不知道，但肯定是慢牛结构形行情	12-28
微盘股为什么又行了？	12-28
这周亏惨了，20个点	12-28
股票退市不能一退了之，强烈要求退市之前要赔偿中小股民的血汗钱！有赔偿就有动力，能	12-28
他说让散户赚钱？	12-28
还有两个交易日要摸3500点了，100%站上去	12-28
一切自然然后呢	12-28
2024投资账单已经出炉了？不是还有两个交易日嘛	12-28
买了股票以后每天睁眼闭眼都是股票哎估计癌症不远了	12-28
上到6000点	12-28
大A现在主要看成交量，没有量就横盘，年后在突破	12-28
过年前沪指摸高4000点，立贴为证	12-28
这个周末利好发酵多，估计开盘好多1字板。电光和百货	12-28
你猜猜！2025年1月6日至11日英伟达CEO黄仁勋将展示合作伙伴的Ai人工智能	12-28
取消量化 取消融券做空[怒][怒][怒]	12-28
2025年A指上6500	12-28
下周大盘重返下跌走势，一直延续到元旦后......！	12-28
周一中阳，周二大阳3690点左右！2024年完美收官	12-28
实战的标，再次浮盈了，未动，继续跟踪，下周预计要变盘节点，属于电网设备，看接下来	12-28
央行放大招，上海又有大动作，券商又迎利好，下周A股指数一飞冲天。	12-28
背离要小心i！	12-28
12月27日午后，A股三大指数冲高回落。截至收盘，上证指数微涨0.06%，站上3	12-28
牛市定律：七成人亏损，二成人拉平，一成人赚钱！牛不牛，对散户一个样！	12-28
日本流感严重，药品荒，下周应该涨医药医疗类的了。	12-28
什么时候上到万点，才是正常估值。	12-28
猫一天狗一天的	12-28
又看不懂了，不知道方向，现在只有等信号	12-28
内外都是利空 下周一又是暴跌！	12-28
想多了，费脑！	12-28
该不会再跌了吧，都提前跌了	12-28
在金融业务的权益类投资市场，无论是这代人60岁以下的还是我们的下一代以及下几代都	12-28
这张图告诉我们，10年4000天，操作200次。就能赚钱，高频交易是利润的抹布啊	12-28
一而再再而三三而竭。3400这次必须过。	12-28
是利好吗！？！？！？！	12-28
本周五个交易日，大盘指数是上涨的，周涨幅0.95%，但大家都是非常难受的，周一损	12-28
这个人是不是在。什么是体质资产，是哪些？和没说一样，一个散户也说的比他说的好	12-28
不禁止量化，指数跌确实不会跌。但散户会越来越少，以后就是一个人的武林了。。。。。	12-28
炒股20年，我总结了9条A股炒作规律，顺应规律赚钱很容易	12-28
红尘说：自从我徒弟去了北证，北证50七周有六周下跌。	12-28
大盘想多少就多少跟个股股价及涨跌毛线关系	12-28
三分之一退市才是正道	12-28
AI分析处理+大数据模型+量化高频操作+独享做空手段+大客户资金通道+全市场资金	12-28
周末消息，情绪还不错啊节前看涨了	12-28
12月30日周一是低开髙走，还是低开低走？	12-28
下周一二是今年最后两个交易日，回看了过去16年，有14年最后两个交易日是涨的。	12-28
我有预感，明天多数人要亏钱	12-28
或许会露下头3500点又割一大批韭菜。看看指数技术走势，春节前后至少8周的绿区要	12-28
大盘涨，个股跌	12-28
今天涨停，搞到新韭菜模不l到头	12-28
量化应该t+5，以遏制其利用资金优势操纵股价，鼓励其做有逻辑的价值投资而非投机。	12-28
继高速连接铜缆之后，机器人和AI加速器采用的先进的HVLP高速高频铜箔技术即将爆	12-28
感觉主力故意在压盘，就是上了也会砸下来。	12-28
继高速连接铜缆之后，机器人和AI加速器采用的先进的HVLP高速高频铜箔技术即将爆	12-28
上帖已经提示大家了指数没怎么跌，个股跌美了，离本年度结束还有最后2个交易日了，下	12-28
2024年1万块钱能够变成117亿！以下是这位写手对于零概率的意y事件的论证。但	12-28
周一，冰火两重天！个股疯狂杀跌出逃，在所难免；大盘是否重演对倒变盘局面，静观其变	12-28
我也清仓了等着9元接回来，观看大盘砸盘	12-28
上了，也是资本家赚，散户一样会被收害！	12-28
利息还给我就可以过个肥年了。世界500强变成光光头强了。华信国际	12-28
沪指告别24年最后的周五上涨2小点精准1400点收市，几天来K线闪缩飘红在339	12-28
证监会最新发布！鼓励上市公司加强产业整合，提升重组市场交易效率。9月24日，证监	12-28
12月28号周六，市场传来三个重要消息，不出意外的话，A股，下周将这么走！	12-28
A股：今日，12月28日，好消息落地了！	12-28
加仓了5万，30年国债利率破2%	12-28
三句话告诉你！A股接下来这样走！	12-28
刚刚！两大利空突袭！美股深夜大跌！	12-28
明天开市吗？	12-28
奉劝不要玩股票了，你跟机器人大数据在玩你玩得过吗？我要退出了	12-28
拥抱低价国企央企2025年开启翻倍之路。牛市低价国企央企翻几倍正常。	12-28
美股昨夜崩盘！	12-28
有没有人赚了指数没赚钱的?	12-28
12月太难了	12-28
炒股就一个字	12-28
2024年12月28日周六复盘：	12-28
今天大盘真稳！上下起伏就那么点！	12-28
春节前必跌到3300点左右，可能跌穿3300点，不管公司还是个人过年都要用钱，现	12-28
股指是权重股拉的小盘股遭秧了被拉了	12-28
连续五年没亏钱了，兄弟们加油，2025年收益率还是翻倍	12-28
大盘惊现百日低量柱，今天就是决战的关键，多空双方必须火力全开，变盘向上向下将一举	12-27
广深（601333），大湾区春运、2025全运概念股！免签证放宽受益者！破净股,央企改革、回购、重组题材！腾讯似的机构潜伏其中！	12-27
12月27日重要财经资讯汇总	12-27
这不是牛市	12-27
什么跨年妖股，都是炒作，没有妖股怎么把你们留在里面	12-27
哭了！无奈卖出四川长虹！38w买入中兴通讯！明天能不能转运？	12-27
大A今天涨稳了，	12-27
大盘今年收在3450——3500之间	12-27
亏一年，最后三个交易日能不能涨	12-27
1、粤港澳大湾区春运、2025全运会板块，破净股,央企改革！近年来，市值管理逐步	12-27
今天上3448	12-27
经济新貌20241227	12-27
年底又要开始清零了。	12-27
上交所年报预约披露时间揭晓：嘉诚国际抢占先机，日播时尚、悦康药业紧随其后	12-27
4年多前2万元进入股市，后来越跌越买，手中的票都分红2至4次了，现在指数回来了，	12-27
A股：大盘走势稳定，明天会怎么运行？来给大家提个醒。	12-27
南钢：紫金投资集团来访。金蕴新材料突破，建材行业领先。南京紫金投资集团党委书记、	12-27
大盘箱体振荡随时变盘，小盘股注意减仓	12-27
南钢：世界智能制造大会。签得重大利好，共建江苏省工业人工智能重点实验室。国家绿色	12-27
有没有UFO概念，最近这玩意火	12-27
还有一跌	12-27
AI的尽头是固态电池，三大龙头股德尔股份、东方锆业、道氏技术即将开启连续涨停！	12-27
定增顺利完成，河南省财政厅正式成为新宁物流实控人大河财立方昨天20:4725评论	12-27
增加印花税	12-27
算力需要庞大的电力支持，美国因为算力造成电力停电：看好大幅破净的央企中国电建，中	12-27
量化是不正当竞争！严重损害广大股民的利益	12-27
"1"";"	12-27
量化不取消永无牛市我说的！！	12-27
严查量化！！！	12-27
接下行情是游资继续玩题材，基金继续报团，每天14000多亿成交量能维持市场秩序。	12-27
黑色星期五	12-27
杰美特F10资金料显示主要客户有RokId公司，为什么要否定，怪怪的	12-27
央国企并购预期个股全面梳理（附：股票名单）	12-27
新研股份	12-27
这个有技术含量	12-27
牛蹄跶跶龙声吟吟牛巿牛股未来3年股价上涨20倍的逻辑可能基于以下几点？	12-27
三重顶	12-27
大A处于该涨却缩量阶段，只能反向判断，继续3300至3400折腾，等机会找出方向	12-27
这是最新消息吗	12-27
全国第二大硫铁矿注入传闻“疯传”？这家公司回应了！	12-27
消息面	12-27
今年没人讨论20倍的跨年妖了？	12-27
6000点买的工行，3000点翻倍了！	12-27
今年普遍难，肯定要收割你们过年的，这是盘感	12-27
CY每日推测12月26：今深圳指数看跌，6种情况\短线总结：结果里一共3涨3跌。	12-27
这种怪异现象，让人觉得突然和不安，明天周五又要普跌？	12-27
人口大省四川超10亿元旦春节消费大礼包开始发放。形式多样的首发经济激活了全国各地	12-27
喜讯，癌症疫苗出现，破天荒大好亊。	12-27
喜讯，癌症疫苗出现，破天荒大好亊。	12-27
喜讯，癌症疫苗出现，破天荒大好亊。开始买疫苗股	12-27
喜讯，癌症疫苗出现，破天荒大好亊。买疫苗股	12-27
感觉很快要大涨了，弹簧压到位了。还有一个原因是国家军事技术正式进入超级大国行列。	12-27
面对外资的砸盘，及内资的跟风做空手段，期指又关禁不了，终于有了对策之一，就是又拉	12-27
软通动力与之江实验室、国星宇航共同发布“星算计划”，共建天地一体化算力网络	12-27
可以关注，002199，002199，002199，科技热门股，错杀票，连续无辜	12-27
曙光还在。	12-27
不能疯牛，不能快牛，只能慢慢牛！	12-27
散户当下交易策略在当下有量化和Al交易参与的市场，所有炒股铁律就只剩下一条了：那	12-27
